word,frequency
administration,410773
condition,409860
blvd,409827
pine,408915
ndraft,408625
technical,407376
hazardous,407265
nchapter,406784
trees,406699
order,406606
red,405232
upper,404669
end,403540
currently,403324
known,402921
nthat,400201
purpose,399295
nnull,398668
wet,398247
vehicle,396687
nexisting,396202
training,395865
shall,395430
nnd,395369
values,394410
york,391971
first,391940
little,390953
being,390695
many,390369
sand,390185
spring,389279
oregon,387544
trails,386811
types,385414
description,384832
atlantic,384003
nna,383176
size,382430
reclamation,382367
four,381944
eastern,381507
salmon,381392
counties,380948
winter,379140
forests,378241
engineers,377782
green,377159
recreational,376207
systems,376126
estimated,374748
out,374480
lead,373600
important,372972
minimize,372423
boundary,371010
infrastructure,370184
mining,370145
erosion,369924
angeles,369748
rivers,369081
meet,368997
canal,368662
agricultural,365940
nor,365781
nmanagement,365733
old,365709
preservation,365288
appropriate,365180
desert,365087
continue,362299
made,361889
terminal,361407
npotential,360326
nother,359669
concern,359638
crossing,359081
indirect,358652
scenic,356331
supplemental,356053
routes,355962
individual,355959
white,355858
virginia,355778
amount,353266
very,353250
provides,353163
birds,351692
wells,351224
decision,351088
value,350256
nimpact,349726
lines,349616
ocean,349615
removal,348844
recovery,348517
compliance,347712
continued,346983
nbe,346416
option,346404
conducted,346394
flows,345936
primary,345877
drive,345246
improvements,345235
document,345176
standard,344777
nmay,344520
discussed,344361
usgs,344303
alignment,344076
applicant,343555
place,343502
reduction,342383
vehicles,341890
esa,341378
indian,341044
minor,340904
offshore,340720
commission,340550
supply,340387
harbor,340149
applicable,337999
avoid,337880
reach,337641
grand,337580
com,337279
parking,336619
elevation,336016
suitable,335373
government,335193
nunder,334629
nnumber,334044
list,333980
council,333876
complex,333833
rate,332224
prior,331690
several,331673
outside,331287
nfacility,330149
refuge,329400
nstate,329121
airport,328853
active,328741
seis,328207
spill,327702
grazing,327694
staff,327160
days,326958
production,326917
interior,326420
least,326253
shown,326072
usda,325499
nhabitat,324471
acre,323588
early,323497
take,322719
higher,321839
overall,321819
parks,321803
generally,321443
surveys,320649
since,320620
potentially,320006
determined,316851
common,316512
permanent,315744
measure,314818
drainage,314810
xad,314498
invasive,314029
objectives,313654
anticipated,313080
industrial,312795
santa,312739
engineering,311476
contact,311149
extent,311076
life,310959
